Comment,Designator,Footprint,LCSC
"10u","C1,C4,C17","Capacitor_SMD:C_0805_2012Metric","C440198"
"30p","C2,C3","Capacitor_SMD:C_0402_1005Metric","C1570"
"100n","C5,C6,C7,C9,C11,C12,C13,C14,C15,C16,C18,C19,C20,C21,C22,C23,C24,C25","Capacitor_SMD:C_0402_1005Metric","C1525"
"1u","C8,C10","Capacitor_SMD:C_0402_1005Metric","C52923"
"LED BLUE","D1","LED_SMD:LED_1206_3216Metric","C130717"
"LED RED","D2","LED_SMD:LED_1206_3216Metric","C84270"
"USB_C_Receptacle_USB2.0","J1","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","C165948"
"1k","R1,R5","Resistor_SMD:R_0402_1005Metric","C11702"
"5.1k","R10,R11","Resistor_SMD:R_0402_1005Metric","C25905"
"27","R3,R4","Resistor_SMD:R_0402_1005Metric","C25100"
"470","R6","Resistor_SMD:R_0402_1005Metric","C25117"
"2.2k","R7,R8","Resistor_SMD:R_0402_1005Metric","C25879"
"3.3k","R9","Resistor_SMD:R_0402_1005Metric","C25890"
"SW_Flash","SW1","Button_Switch_SMD:SW_Push_1P1T-SH_NO_CK_KMR2xxG","C72443"
"SW_Mode","SW2","Button_Switch_SMD:SW_Push_1P1T-SH_NO_CK_KMR2xxG","C72443"
"NCP1117-3.3_SOT223","U1","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C146799"
"W25Q128JVS","U2","Package_SO:SOIC-8_5.23x5.23mm_P1.27mm","C97521"
"RP2040","U3","RP2040_minimal:RP2040-QFN-56","C2040"
"SN74LVC4245A","U4,U5,U6,U7","gb-stream-cart:SN74LVC4245APWR","C7859"
"TAXM12M2GLFBET2T","Y1","RP2040_minimal:Crystal_SMD_HC49-US","C111117"